011 -- Kulutushyodykkeiden keskihintoja

Vuosi;Hyodyke;Tiedot;Vuosikeskiarvo
2017;Kevyt polttooljy, 1 l;Keskihinta;0.91
2017;KALUSTEET, KOTITALOUSKONEET JA YLEINEN KODINHOITO;Keskihinta;.
2017;Konetiskiaine, 1 kg;Keskihinta;8.85
2017;Pyykinpesuaine, 1 kg;Keskihinta;.
2017;Astianpesuaine, 1 l;Keskihinta;4.30
2017;Yleispuhdistusaine, 1 l;Keskihinta;2.62
2017;Tiskiharja , 1 kpl;Keskihinta;1.19
2017;Talouspaperi, 4 rll;Keskihinta;2.42
2017;Muovipussi, 1 kpl;Keskihinta;.
2017;Biojatepussi, 30 kpl;Keskihinta;4.25
2017;TERVEYS;Keskihinta;.
2017;Kondomit , 5 kpl/pakk.;Keskihinta;3.27
2017;LIIKENNE;Keskihinta;.
2017;Diesel, 1 l;Keskihinta;1.30
2017;Bensiini 95 E 10, 1 l;Keskihinta;1.46
2017;Bensiini 98 E 5, 1 l;Keskihinta;1.54
2017;Junamatka 200 km, meno-paluu;Keskihinta;.
2017;Seutulippu 30 pv, paakaupunkiseutu;Keskihinta;106.50
2017;Linja-automatka 200 km meno-paluu;Keskihinta;.
2017;Taksimatka 5 km paivalla;Keskihinta;13.82
2017;VIESTINTA;Keskihinta;.
2017;1 lk:n kotimaan kirje 50g;Keskihinta;1.30
2017;KULTTUURI JA VAPAA-AIKA;Keskihinta;.
2017;Koiran ruoka, 3 kg;Keskihinta;6.82
2017;Kissan ruoka, 400 g;Keskihinta;2.28
2017;Uimahallimaksu, 1 krt;Keskihinta;6.04
2017;Elokuvalippu;Keskihinta;12.17
2017;Televisiolupamaksu, VUOSI;Keskihinta;.
2017;Passikuva, 4 KUVAA;Keskihinta;.
2017;Lotto, 1 rivi;Keskihinta;1.00
2017;Vakioveikkaus, 1 rivi;Keskihinta;0.25
2017;RAVINTOLAT JA HOTELLIT;Keskihinta;.
2017;Pizza, 1 kpl;Keskihinta;11.51
2017;Hampurilainen, 1 kpl;Keskihinta;2.74
2017;Kahvi, 1 kpp;Keskihinta;2.18
2017;Virvoitusjuoma kahvilassa, 333 ml pullo;Keskihinta;.
2017;MUUT TAVARAT JA PALVELUT;Keskihinta;.
2017;Hammasharja, 1 kpl;Keskihinta;1.76
2017;Hammastahna, 50 ml;Keskihinta;1.28
2017;WC-paperi, 8 rll;Keskihinta;3.38
2017;Terveyssiteet, 20 kpl/pakk.;Keskihinta;3.32
2017;Kulutusluottojen korot, %;Keskihinta;3.03
2017;Passi;Keskihinta;48.00
2017;Naudan maksa, 1 kg;Keskihinta;.
2017;Junamatka Hki-Tre IC2-juna meno-paluu;Keskihinta;.
2016;ELINTARVIKKEET JA ALKOHOLITTOMAT JUOMAT;Keskihinta;.
2016;Pitkajyvariisi, 1 kg;Keskihinta;2.39
2016;Vehnajauhot, 2 kg;Keskihinta;1.32
2016;Kaurahiutaleet, 1 kg;Keskihinta;1.52
2016;Annospuurohiutale, 250 g;Keskihinta;2.55
2016;Reikaleipa, 1 kg;Keskihinta;.
2016;Ruisleipa, 1 kg;Keskihinta;4.99
2016;Ruisleipapalat, 1 kg;Keskihinta;3.59
2016;Jalkiuunileipa, 1 kg;Keskihinta;.
2016;Sekaleipa, 1 kg;Keskihinta;4.72
2016;Vehnaleipa, 500 g;Keskihinta;.
2016;Kauraleipa, 500 g;Keskihinta;.
2016;Sampyla, 1 kg;Keskihinta;5.63
2016;Patonki, 1 kg;Keskihinta;.
2016;Pullapitko, 1 kg;Keskihinta;6.79
2016;Taytekeksi, 350 g;Keskihinta;2.96
2016;Nakkileipa, 1 kg;Keskihinta;5.07
2016;Voileipakeksi, 1 kg;Keskihinta;.
2016;Suolakeksit, 100 g;Keskihinta;1.14
2016;Einespizza, 200 g;Keskihinta;1.19
2016;Pakastepizza, 300 g;Keskihinta;2.48
2016;Pakastelehtitaikina, 1 kg;Keskihinta;3.50
2016;Lihapiirakka, 1 kg;Keskihinta;4.59
2016;Eineshampurilainen, 100 g;Keskihinta;0.74
2016;Makaroni, 400 g;Keskihinta;0.38
2016;Spagetti, 500 g;Keskihinta;1.06
2016;Maustetut murot, 1 kg;Keskihinta;8.73
2016;Maustamattomat murot, 1 kg;Keskihinta;.
2016;Maissilastut, 1 kg;Keskihinta;.
2016;Muromysli, 500 g;Keskihinta;2.76
2016;Naudan paisti, 1 kg;Keskihinta;16.07
2016;Naudan jauheliha, 1 kg;Keskihinta;9.95
2016;Naudan ulkofile, 1 kg;Keskihinta;30.45
2016;Sika-nauta jauheliha, 1 kg;Keskihinta;6.21
2016;Naudan suikalepaisti, 1 kg;Keskihinta;15.87
2016;Porsaan leikkeet, 1 kg;Keskihinta;.
2016;Porsaan kinkku, 1 KG;Keskihinta;.
2016;Porsaan sisafile, 1 kg;Keskihinta;11.78
2016;Porsaan ulkofile, 1 kg;Keskihinta;9.60
2016;Porsaan suikale- ja palaliha, 1 kg;Keskihinta;8.88
2016;Porsaan paisti, 1 kg;Keskihinta;7.50
2016;Broilerin rintafile, 1 kg;Keskihinta;13.02
2016;Broilerin koipi-reisi, 1 kg;Keskihinta;2.36
2016;Kinkkuleikkele, 1 kg;Keskihinta;10.24
2016;Palvikinkku, 1 kg;Keskihinta;.
2016;Meetvursti , 1 kg;Keskihinta;15.51
2016;Keittokinkku, 1 kg;Keskihinta;.
2016;Siipikarjanlihaleikkele, 1 kg;Keskihinta;13.85
2016;Kinkkumakkara, 1 kg;Keskihinta;.
2016;Grillimakkara, 1 kg;Keskihinta;5.78
2016;Lenkkimakkara, 1 kg;Keskihinta;4.30
2016;Nakit, 1 kg;Keskihinta;7.26
2016;Pekoni, 170 g;Keskihinta;2.05
2016;Einespyorykat, 400 g;Keskihinta;2.00
2016;Kokolihasuikaleet, 300 g;Keskihinta;.
2016;Palvilihapala, 1 kg;Keskihinta;.
2016;Lihahyytelo, 1 kg;Keskihinta;.
2016;Maksamakkara, 1 kg;Keskihinta;7.83
2016;Kirjolohi, 1 kg;Keskihinta;9.70
2016;Kirjolohifile, 1 kg;Keskihinta;18.13
2016;Lohifile, 1 kg;Keskihinta;21.01
2016;Katkaravut, 1 kg;Keskihinta;.
2016;Tonnikalasailyke, 150 g;Keskihinta;1.79
2016;Sillisailyke, 150 g;Keskihinta;3.15
2016;Taysmaito, 1 l;Keskihinta;.
2016;Kevytmaito, 1 l;Keskihinta;1.01
2016;Rasvaton maito, 1 l;Keskihinta;0.91
2016;Aidinmaidonkorvike, 2 dl;Keskihinta;.
2016;Jogurttipurkki, 200 g;Keskihinta;0.51
2016;Jogurttitolkki, 1 kg;Keskihinta;1.80
2016;Edamjuusto, 1 kg;Keskihinta;8.77
2016;Emmentaljuusto, 1 kg;Keskihinta;13.85
2016;Kermajuusto, 1 kg;Keskihinta;7.94
2016;Homejuusto, 1 kg;Keskihinta;14.77
2016;Salaattijuusto, 200 g;Keskihinta;2.50
2016;Tuorejuusto, 200 g;Keskihinta;2.18
2016;Raejuusto, 200 g;Keskihinta;1.38
